model,perturbation,latent_dim,cell_r2,cell_l2,cell_mmd,dataset_name,ood_attribute,test_ood_value
w1ot,flavopiridol_hcl,50,0.62378514,2.909876,0.07241437,sciplex3-hvg-top1k_50,cell_type,A549
w2ot,flavopiridol_hcl,50,0.5230545,3.356602,0.098122016,sciplex3-hvg-top1k_50,cell_type,A549
scgen,tanespimycin,50,0.26169163,2.1949766,0.067479245,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,tanespimycin,50,0.2593197,2.1970766,0.06481308,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,tanespimycin,50,0.17898756,2.5246756,0.08432629,sciplex3-hvg-top1k_50,cell_type,K562
scgen,hesperadin,50,0.7533397,1.8484025,0.03252747,sciplex3-hvg-top1k_50,cell_type,MCF7
w1ot,hesperadin,50,0.769661,1.6700683,0.035068173,sciplex3-hvg-top1k_50,cell_type,MCF7
w2ot,hesperadin,50,0.31671357,3.841643,0.07187534,sciplex3-hvg-top1k_50,cell_type,MCF7
scgen,belinostat,50,0.1815346,2.8676598,0.06730734,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,belinostat,50,0.21337734,2.8456724,0.057782,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,belinostat,50,0.0005081795,5.306458,0.087316826,sciplex3-hvg-top1k_50,cell_type,K562
scgen,dacinostat,50,0.27124852,4.3252378,0.117048465,sciplex3-hvg-top1k_50,cell_type,MCF7
w1ot,dacinostat,50,0.16988757,4.7874336,0.15041329,sciplex3-hvg-top1k_50,cell_type,MCF7
w2ot,dacinostat,50,0.330511,6.21954,0.15497601,sciplex3-hvg-top1k_50,cell_type,MCF7
scgen,givinostat,50,0.044700142,4.923502,0.1377159,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,givinostat,50,0.13173912,1.9335883,0.029787794,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,givinostat,50,0.023704473,9.209863,0.22424915,sciplex3-hvg-top1k_50,cell_type,K562
scgen,tanespimycin,50,0.3040534,2.1687882,0.068655215,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,tanespimycin,50,0.24106182,2.3744528,0.0655391,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,tanespimycin,50,0.28397742,2.3113995,0.07140569,sciplex3-hvg-top1k_50,cell_type,K562
scgen,alvespimycin_hcl,50,0.15249436,2.3181815,0.13528937,sciplex3-hvg-top1k_50,cell_type,MCF7
w1ot,alvespimycin_hcl,50,0.3473069,1.8033737,0.08045479,sciplex3-hvg-top1k_50,cell_type,MCF7
w2ot,alvespimycin_hcl,50,0.08690376,2.8661296,0.13041334,sciplex3-hvg-top1k_50,cell_type,MCF7
scgen,tak_901,50,0.107274376,3.1326308,0.09940089,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,tak_901,50,0.104820095,2.9947202,0.07737045,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,tak_901,50,0.06550716,3.2751343,0.10849152,sciplex3-hvg-top1k_50,cell_type,K562
scgen,flavopiridol_hcl,50,0.10688723,3.0963497,0.09274259,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,flavopiridol_hcl,50,0.005006663,4.1961536,0.07807681,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,flavopiridol_hcl,50,0.0066761435,3.670194,0.11507105,sciplex3-hvg-top1k_50,cell_type,K562
scgen,flavopiridol_hcl,50,0.4995642,2.3652747,0.07096345,sciplex3-hvg-top1k_50,cell_type,MCF7
w1ot,flavopiridol_hcl,50,0.5087489,2.3576186,0.08326561,sciplex3-hvg-top1k_50,cell_type,MCF7
w2ot,flavopiridol_hcl,50,0.39799145,2.6110842,0.076075695,sciplex3-hvg-top1k_50,cell_type,MCF7
scgen,givinostat,50,0.79273146,3.9809573,0.054129582,sciplex3-hvg-top1k_50,cell_type,A549
w1ot,givinostat,50,0.7382065,3.3142254,0.036296636,sciplex3-hvg-top1k_50,cell_type,A549
w2ot,givinostat,50,0.55011463,3.3969517,0.04649011,sciplex3-hvg-top1k_50,cell_type,A549
scgen,alvespimycin_hcl,50,0.47616968,2.8673577,0.07508097,sciplex3-hvg-top1k_50,cell_type,A549
w1ot,alvespimycin_hcl,50,0.54717964,2.7766654,0.07891784,sciplex3-hvg-top1k_50,cell_type,A549
w2ot,alvespimycin_hcl,50,0.29264212,3.4821496,0.0890448,sciplex3-hvg-top1k_50,cell_type,A549
scgen,givinostat,50,0.638206,2.46408,0.079425424,sciplex3-hvg-top1k_50,cell_type,MCF7
w1ot,givinostat,50,0.48730746,3.0200927,0.0930132,sciplex3-hvg-top1k_50,cell_type,MCF7
w2ot,givinostat,50,0.49036846,2.7013886,0.074081935,sciplex3-hvg-top1k_50,cell_type,MCF7
scgen,jnj_26854165,50,0.7171324,0.5220105,0.024872007,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,jnj_26854165,50,0.46635765,0.6864731,0.039089866,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,jnj_26854165,50,0.77901185,0.5044887,0.029595662,sciplex3-hvg-top1k_50,cell_type,K562
scgen,alvespimycin_hcl,50,0.09340982,3.7148395,0.12688468,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,alvespimycin_hcl,50,0.06567141,3.711738,0.121479474,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,alvespimycin_hcl,50,0.0882738,3.7672877,0.14015988,sciplex3-hvg-top1k_50,cell_type,K562
scgen,dacinostat,50,0.12804131,4.4747314,0.08024755,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,dacinostat,50,0.10093673,2.499027,0.049490314,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,dacinostat,50,0.03148986,10.63051,0.16651486,sciplex3-hvg-top1k_50,cell_type,K562
scgen,givinostat,50,0.097591326,3.3288891,0.081494376,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,givinostat,50,0.097318955,3.6431916,0.03447952,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,givinostat,50,0.0064963913,7.3379498,0.1834238,sciplex3-hvg-top1k_50,cell_type,K562
scgen,tanespimycin,50,0.55571353,1.7578508,0.047110595,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,tanespimycin,50,0.5269141,1.7353072,0.04555995,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,tanespimycin,50,0.45955586,2.163932,0.06601152,sciplex3-hvg-top1k_50,cell_type,K562
scgen,jnj_26854165,50,0.077083796,1.1974453,0.05862672,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,jnj_26854165,50,0.022224743,1.4106426,0.08155629,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,jnj_26854165,50,0.057684902,1.1664867,0.058931276,sciplex3-hvg-top1k_50,cell_type,K562
scgen,jnj_26854165,50,0.29193106,0.87895256,0.04408233,sciplex3-hvg-top1k_50,cell_type,K562
w1ot,jnj_26854165,50,0.23353107,0.96320474,0.05348936,sciplex3-hvg-top1k_50,cell_type,K562
w2ot,jnj_26854165,50,0.11134254,1.1538353,0.06515142,sciplex3-hvg-top1k_50,cell_type,K562
scgen,tak_901,50,0.32010666,2.6584759,0.11776586,sciplex3-hvg-top1k_50,cell_type,MCF7
w1ot,tak_901,50,0.5262425,2.416982,0.09794155,sciplex3-hvg-top1k_50,cell_type,MCF7
